year,broadband_type,category,scope,label,value,unit
2024,FBB,Dissatisfaction_reason,Video streaming,Video playback fails,13.9,%
2024,FBB,Dissatisfaction_reason,Video streaming,Others,2.8,%
2023,MBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,56.5,%
2023,MBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,22.2,%
2023,MBB,Dissatisfaction_reason,Video streaming,Video playback fails,9.2,%
2023,MBB,Dissatisfaction_reason,Video streaming,Low video quality,7.2,%
2023,MBB,Dissatisfaction_reason,Video streaming,Others,4.9,%
2024,MBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,52.4,%
2024,MBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,22.3,%
2023,FBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,40.6,%
2023,FBB,Dissatisfaction_reason,Web browsing,Slow download,24.6,%
2023,FBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,18.8,%
2023,FBB,Dissatisfaction_reason,Web browsing,Others,15.9,%
2024,FBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,29.2,%
2024,FBB,Dissatisfaction_reason,Web browsing,Slow download,20.8,%
2024,FBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,16.7,%
2024,FBB,Dissatisfaction_reason,Web browsing,Others,33.3,%
2023,MBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,42.9,%
2023,MBB,Dissatisfaction_reason,Web browsing,Slow download,22.6,%
2023,MBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,14.2,%
2023,MBB,Dissatisfaction_reason,Web browsing,Others,20.4,%
2024,MBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,24.0,%
2024,MBB,Dissatisfaction_reason,Web browsing,Slow download,24.0,%
2024,MBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,18.7,%
2024,MBB,Dissatisfaction_reason,Web browsing,Others,33.3,%
2023,FBB,Dissatisfaction_reason,Online gaming,Latency and lag,41.9,%
2023,FBB,Dissatisfaction_reason,Online gaming,Animation stuttering,25.7,%
2023,FBB,Dissatisfaction_reason,Online gaming,Others,32.4,%
2024,FBB,Dissatisfaction_reason,Online gaming,Animation stuttering,42.9,%
2024,FBB,Dissatisfaction_reason,Online gaming,Latency and lag,33.3,%
2023,MBB,Dissatisfaction_reason,Online gaming,Animation stuttering,34.3,%
2023,MBB,Dissatisfaction_reason,Online gaming,Latency and lag,26.6,%
2023,MBB,Dissatisfaction_reason,Online gaming,Low FPS,11.8,%
2023,MBB,Dissatisfaction_reason,Online gaming,Others,27.2,%
2024,MBB,Dissatisfaction_reason,Online gaming,Animation stuttering,42.9,%
2024,MBB,Dissatisfaction_reason,Online gaming,Latency and lag,33.3,%
