year,broadband_type,category,scope,label,value,unit
2024,MBB,Demo,Gender,Male,64.6,%
2024,MBB,Demo,Gender,Female,35.4,%
2024,MBB,Demo,Location,Urban,70.1,%
2024,MBB,Demo,Location,Rural,29.9,%
2024,MBB,Demo,Age group,Under 20,3.9,%
2024,MBB,Demo,Age group,20s,34.9,%
2024,MBB,Demo,Age group,30s,29.2,%
2024,MBB,Demo,Age group,40s,18.2,%
2024,MBB,Demo,Age group,50s,8.8,%
2024,MBB,Demo,Age group,60+,5.0,%
2024,MBB,Demo,Employment,Employed,55.8,%
2024,MBB,Demo,Employment,Self-employed,19.1,%
2024,MBB,Demo,Employment,Unemployed,11.6,%
2024,MBB,Demo,Employment,Full-time student,10.0,%
2024,MBB,Demo,Employment,Pensioner,3.6,%
2024,MBB,Demo,Income,"Below RM4,850",66.5,%
2024,MBB,Demo,Income,"RM4,850-RM10,959",24.7,%
2024,MBB,Demo,Income,"Above RM10,959",8.8,%
2024,MBB,Demo,Ethnicity,Malay,73.1,%
2024,MBB,Demo,Ethnicity,Chinese,12.5,%
2024,MBB,Demo,Ethnicity,Indian,4.6,%
2024,MBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,8.1,%
